bar_type,seed,agent_id,uncorrected_regret,corrected_regret
passive,41,8,0.026834994462191706,0.026834994462191706
passive,41,9,0.0399385887534435,0.0399385887534435
passive,42,0,0.016886875211761777,0.016886875211761777
passive,42,1,0.03831781656463002,0.03831781656463002
passive,42,2,0.03000251988800733,0.03000251988800733
passive,42,3,0.11458024161364094,0.11458024161364094
passive,42,4,0.09621278552731766,0.09621278552731766
passive,42,5,0.02516178435500875,0.02516178435500875
passive,42,6,0.042990023634994684,0.042990023634994684
passive,42,7,0.0807041350899241,0.0807041350899241
passive,42,8,0.04010711721607741,0.04010711721607741
passive,42,9,0.09650945491920976,0.09650945491920976
passive,43,0,0.06788347574649328,0.06788347574649328
passive,43,1,0.07123158001993657,0.07123158001993657
passive,43,2,0.06291628334331388,0.06291628334331388
passive,43,3,0.11266280003293536,0.11266280003293536
passive,43,4,0.0782160177846978,0.0782160177846978
passive,43,5,0.07645505428163236,0.07645505428163236
passive,43,6,0.12770793667488026,0.12770793667488026
passive,43,7,0.003602702072882309,0.003602702072882309
passive,43,8,0.03347708103163144,0.03347708103163144
passive,43,9,0.05319442474394101,0.05319442474394101
passive,44,0,0.12122232818308068,0.12122232818308068
passive,44,1,0.1055975872014227,0.1055975872014227
passive,44,2,0.059185440341173366,0.059185440341173366
passive,44,3,0.053222761892322966,0.053222761892322966
passive,44,4,0.04494785274907599,0.04494785274907599
passive,44,5,0.12217574263629861,0.12217574263629861
passive,44,6,0.06762887794705426,0.06762887794705426
passive,44,7,0.006642086569439733,0.006642086569439733
passive,44,8,0.05417617634554089,0.05417617634554089
passive,44,9,0.02155908228212644,0.02155908228212644
passive,45,0,0.08819247418350969,0.08819247418350969
passive,45,1,0.11554570645185262,0.11554570645185262
passive,45,2,0.06676153283064144,0.06676153283064144
passive,45,3,0.10251781517148956,0.10251781517148956
passive,45,4,0.0399385887534435,0.0399385887534435
passive,45,5,0.1036397580873414,0.1036397580873414
passive,45,6,0.05776682803342943,0.05776682803342943
passive,45,7,0.04655233817450128,0.04655233817450128
passive,45,8,0.0690931720582276,0.0690931720582276
passive,45,9,0.0607778753816049,0.0607778753816049
passive,46,0,0.05918544034117338,0.05918544034117338
passive,46,1,0.07700632147296349,0.07700632147296349
passive,46,2,0.03844595749388822,0.03844595749388822
passive,46,3,0.09265047098781105,0.09265047098781105
