attendance,price,profit,welfare,distress_pct,trailing_mean_attendance,convergence_round_attendance,agent_type,bar_type,rounds,seed
4.8,5.6,23.16,40.303036520495944,0.0,3.0,,heuristic,q_learning,10,89
4.8,3.6,15.16,35.43791433671028,0.0,3.0,,heuristic,q_learning,10,90
4.6,3.2,11.620000000000001,38.32762748234516,0.0,4.5,,heuristic,q_learning,10,91
3.8,2.4,6.660000000000001,25.786949535696817,0.0,3.0,,heuristic,q_learning,10,92
4.6,4.8,22.619999999999997,37.679141109226336,0.0,4.0,,heuristic,q_learning,10,93
4.8,4.4,20.36,38.44136569024071,0.0,3.0,,heuristic,q_learning,10,94
4.6,3.4,13.419999999999998,37.19033501638701,0.0,3.0,,heuristic,q_learning,10,95
5.3,5.6,25.810000000000002,47.356804883817134,0.0,5.0,,heuristic,q_learning,10,96
4.5,5.2,21.85,34.85595394216016,0.0,4.0,,heuristic,q_learning,10,97
5.1,3.0,11.669999999999998,42.38828361076555,0.0,4.0,,heuristic,q_learning,10,98
4.9,4.0,17.73,42.56152560354451,0.0,5.5,,heuristic,q_learning,10,99
4.4,8.08,29.2,31.44495064852338,0.0,2.0,,heuristic,gp,10,0
