uncorrected_regret,corrected_regret,bar_type,seed,agent_id
0.05872317478345304,0.05872317478345304,gp,5,8
0.039852318749529526,0.039852318749529526,gp,5,9
0.10407442303214412,0.10407442303214412,gp,6,0
0.1243031822707646,0.1243031822707646,gp,6,1
0.11564624676819323,0.11564624676819323,gp,6,2
0.011428132578867064,0.011428132578867064,gp,6,3
0.12757908337624926,0.12757908337624926,gp,6,4
0.10492569327831992,0.10492569327831992,gp,6,5
0.16844971744261997,0.16844971744261997,gp,6,6
0.10848102948869545,0.10848102948869545,gp,6,7
0.10234857433948281,0.10234857433948281,gp,6,8
0.0718782939565926,0.0718782939565926,gp,6,9
0.05613525369735051,0.0674495473371549,gp,7,0
0.043975419902773066,0.0456082424765803,gp,7,1
0.06332591031555587,0.06979946842236169,gp,7,2
0.09231341406254323,0.1005883232057902,gp,7,3
0.03546251075863035,0.048409626972241986,gp,7,4
0.01305822352297748,0.029044724233146545,gp,7,5
0.020418857508653954,0.022051680082461195,gp,7,6
0.09677337147394573,0.10157371947356858,gp,7,7
0.050419894004692774,0.07000909678774415,gp,7,8
0.03584453711795473,0.05363238886456496,gp,7,9
