agent_type,condition,seed,attendance_mean,price_mean,profit_mean
q_learning,price_aware,67,4.5633333333333335,2.3305923749545765,7.7281087915645035
q_learning,price_blind,67,4.256666666666667,2.5914287062773838,7.054421423480232
q_learning,price_aware,68,0.71,9.827921496265407,5.789857761218342
q_learning,price_blind,68,4.556666666666667,2.525307902793194,7.281520833324483
q_learning,price_aware,69,5.5,2.506504820222738,9.508369339630882
q_learning,price_blind,69,5.243333333333333,3.0671117257959604,11.602083003279152
q_learning,price_aware,70,5.016666666666667,2.473001165591146,8.598305269938207
q_learning,price_blind,70,4.586666666666667,2.6305226325421907,7.675842361577347
q_learning,price_aware,71,5.52,2.27897226707056,9.29842293766872
q_learning,price_blind,71,5.166666666666667,2.7932333637392994,9.76013352231945
q_learning,price_aware,72,1.84,6.726120572151424,6.393547524674037
q_learning,price_blind,72,4.38,2.6147567668200327,7.319260961490962
q_learning,price_aware,73,2.9966666666666666,4.159126477540779,6.593247016836755
q_learning,price_blind,73,4.01,2.5779613929619614,6.622700803901709
q_learning,price_aware,74,0.78,9.844840533333333,6.489438933333332
q_learning,price_blind,74,4.943333333333333,2.5599714722182325,8.2539681012939
q_learning,price_aware,75,4.883333333333334,3.176964180755785,9.070226591233062
q_learning,price_blind,75,5.01,2.9116317403031258,10.333064519326177
q_learning,price_aware,76,1.4066666666666667,7.313999999999999,6.093066666666667
q_learning,price_blind,76,4.783333333333333,2.5089105946661645,7.812648854661984
q_learning,price_aware,77,3.8066666666666666,3.7543786413350606,8.020580094859513
q_learning,price_blind,77,4.59,2.6326787316750955,7.893125646200985
q_learning,price_aware,78,2.0166666666666666,6.381692101416436,6.863993840415517
q_learning,price_blind,78,5.076666666666667,2.7580082631972545,9.885551485993176
q_learning,price_aware,79,2.5633333333333335,5.800811733257668,7.379716362194708
q_learning,price_blind,79,4.836666666666667,2.5993620570591447,8.190416876027617
q_learning,price_aware,80,2.3833333333333333,5.466040834264481,6.4673439957218894
q_learning,price_blind,80,4.46,2.5507024476315006,7.244158906587865
q_learning,price_aware,81,5.023333333333333,2.5113605267266044,8.262258035720384
q_learning,price_blind,81,4.453333333333333,2.6626681678289503,7.4661048862434045
q_learning,price_aware,82,5.763333333333334,2.514259222162676,10.331739065514462
q_learning,price_blind,82,4.323333333333333,2.7239781616681262,7.805334898893491
q_learning,price_aware,83,4.54,3.0249695790231135,8.006410199972494
